reference_dcp	iter	base_before_dcp	net_name	sink_cell	target_slice	split_name	buffer_name	sink_pin_cmd	resolved_sink_pin	baseline_ps	eco_total_ps	delta_total_ps	eco_seg1_ps	eco_seg2_ps	lut_delay_ps
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0110	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0110/base_before.dcp	f[48]_INST_0_i_3/O	f[49]_INST_0_i_4	SLICE_X54Y361				I4	1728.7	4616.899	2888.199	2312.0	2269.9	
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0111	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0111/base_before.dcp	f[31]_INST_0_i_3_n_0	f[38]_INST_0_i_6	SLICE_X55Y379										
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0112	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0112/base_before.dcp	f[31]_INST_0_i_3_n_0	f[33]_INST_0_i_4	SLICE_X55Y379										
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0113	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0113/base_before.dcp	f[33]_INST_0_i_3_n_0	f[43]_INST_0_i_7	SLICE_X55Y377										
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0114	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0114/base_before.dcp	f[39]_INST_0_i_3_n_0	f[48]_INST_0_i_7	SLICE_X55Y371										
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0115	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0115/base_before.dcp	f[39]_INST_0_i_3_n_0	f[43]_INST_0_i_5	SLICE_X55Y371										
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0116	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0116/base_before.dcp	f[3]_INST_0_i_3_n_0	f[5]_INST_0_i_4	SLICE_X51Y376										
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0117	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0117/base_before.dcp	f[46]_INST_0_i_3_n_0	f[46]_INST_0_i_1	SLICE_X54Y363										
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0118	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0118/base_before.dcp	f[46]_INST_0_i_3_n_0	f[47]_INST_0_i_1	SLICE_X54Y363										
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0119	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0119/base_before.dcp	f[46]_INST_0_i_3_n_0	f[48]_INST_0_i_4	SLICE_X54Y363										
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0120	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0120/base_before.dcp	f[50]_INST_0_i_3_n_0	f[53]_INST_0_i_4	SLICE_X53Y361										
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0121	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0121/base_before.dcp	f[90]_INST_0_i_2_n_0	f[91]_INST_0_i_4	SLICE_X45Y455										
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0122	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0122/base_before.dcp	f[31]_INST_0_i_3/O	f[38]_INST_0_i_6	SLICE_X55Y379				I3	1739.0	3697.2	1958.2	1932.8	1729.4	
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0123	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0123/base_before.dcp	f[31]_INST_0_i_3/O	f[33]_INST_0_i_4	SLICE_X55Y379				I4	1687.0	3698.6	2011.6	1932.8	1730.8	
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0124	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0124/base_before.dcp	f[33]_INST_0_i_3/O	f[43]_INST_0_i_7	SLICE_X55Y377				I3	1836.4	3659.8	1823.4	1900.4	1724.4	
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0125	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0125/base_before.dcp	f[39]_INST_0_i_3/O	f[48]_INST_0_i_7	SLICE_X55Y371				I1	1819.8	3392.1	1572.3	1679.3	1677.8	
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0126	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0126/base_before.dcp	f[39]_INST_0_i_3/O	f[43]_INST_0_i_5	SLICE_X55Y371				I4	1845.8	3418.1	1572.3	1679.3	1703.8	
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0127	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0127/base_before.dcp	f[3]_INST_0_i_3/O	f[5]_INST_0_i_4	SLICE_X51Y376				I2	2063.9	6596.901	4533.001	2277.5	4284.402	
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0128	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0128/base_before.dcp	f[46]_INST_0_i_3/O	f[46]_INST_0_i_1	SLICE_X54Y363				I1	1946.2	4614.1	2667.9	2362.2	2216.9	
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0129	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0129/base_before.dcp	f[46]_INST_0_i_3/O	f[47]_INST_0_i_1	SLICE_X54Y363				I2	1985.2	4656.8	2671.6	2362.2	2259.6	
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0130	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0130/base_before.dcp	f[46]_INST_0_i_3/O	f[48]_INST_0_i_4	SLICE_X54Y363				I4	2028.2	4568.3	2540.1	2362.2	2171.1	
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0131	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0131/base_before.dcp	f[50]_INST_0_i_3/O	f[53]_INST_0_i_4	SLICE_X53Y361				I2	1805.0	4431.0	2626.0	2290.8	2105.2	
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0132	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0132/base_before.dcp	f[90]_INST_0_i_2/O	f[91]_INST_0_i_4	SLICE_X45Y455				I3	2063.6	4449.5	2385.899	2397.5	2017.0	
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0133	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0133/base_before.dcp	f[31]_INST_0_i_3_n_0	f[31]_INST_0_i_1	SLICE_X55Y379										
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0134	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0134/base_before.dcp	f[31]_INST_0_i_3_n_0	f[32]_INST_0_i_1	SLICE_X55Y379										
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0135	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0135/base_before.dcp	f[32]_INST_0_i_3_n_0	f[33]_INST_0_i_1	SLICE_X55Y379										
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0136	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0136/base_before.dcp	f[32]_INST_0_i_3_n_0	f[34]_INST_0_i_4	SLICE_X55Y379										
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0137	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0137/base_before.dcp	f[32]_INST_0_i_3_n_0	f[38]_INST_0_i_6	SLICE_X55Y379										
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0138	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0138/base_before.dcp	f[34]_INST_0_i_3_n_0	f[34]_INST_0_i_1	SLICE_X55Y377										
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0139	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0139/base_before.dcp	f[34]_INST_0_i_3_n_0	f[43]_INST_0_i_7	SLICE_X55Y377										
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0140	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0140/base_before.dcp	f[34]_INST_0_i_3_n_0	f[35]_INST_0_i_1	SLICE_X55Y377										
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0141	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0141/base_before.dcp	f[35]_INST_0_i_3_n_0	f[43]_INST_0_i_8	SLICE_X55Y374										
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0142	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0142/base_before.dcp	f[35]_INST_0_i_3_n_0	f[38]_INST_0_i_4	SLICE_X55Y374										
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0143	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0143/base_before.dcp	f[39]_INST_0_i_3_n_0	f[39]_INST_0_i_1	SLICE_X55Y371										
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0144	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0144/base_before.dcp	f[39]_INST_0_i_3_n_0	f[40]_INST_0_i_1	SLICE_X55Y371										
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0145	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0145/base_before.dcp	f[39]_INST_0_i_3_n_0	f[41]_INST_0_i_4	SLICE_X55Y371										
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0146	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0146/base_before.dcp	f[41]_INST_0_i_3_n_0	f[48]_INST_0_i_6	SLICE_X54Y370										
